event,timestamp_local,phase,mould_odour_ou,temperature_c,co2_ppm,sound_dba
mar2024,2024-03-25T00:00,lived-in,8.9,24.19,815,48.6
mar2024,2024-03-25T01:00,lived-in,10.1,23.85,746,46.1
mar2024,2024-03-25T02:00,lived-in,6.6,23.17,684,45.1
mar2024,2024-03-25T03:00,lived-in,5.9,23.06,650,45.1
mar2024,2024-03-25T04:00,lived-in,5.5,23.01,633,45.5
mar2024,2024-03-25T05:00,lived-in,5.3,22.99,625,45.0
mar2024,2024-03-25T06:00,lived-in,5.0,22.93,621,45.5
mar2024,2024-03-25T07:00,lived-in,6.6,22.92,607,45.7
mar2024,2024-03-25T08:00,lived-in,5.2,23.11,632,45.2
mar2024,2024-03-25T09:00,lived-in,55.1,23.70,620,44.8
mar2024,2024-03-25T10:00,lived-in,22.6,24.05,520,44.1
mar2024,2024-03-25T11:00,lived-in,22.8,24.36,440,46.4
mar2024,2024-03-25T12:00,lived-in,15.6,24.77,417,47.1
mar2024,2024-03-25T13:00,lived-in,20.8,24.87,412,44.0
mar2024,2024-03-25T14:00,lived-in,15.4,24.81,405,45.0
mar2024,2024-03-25T15:00,lived-in,11.7,23.61,467,48.1
mar2024,2024-03-25T16:00,lived-in,9.5,24.09,482,42.7
mar2024,2024-03-25T17:00,lived-in,34.7,24.69,535,48.4
mar2024,2024-03-25T18:00,lived-in,22.4,24.91,500,44.3
mar2024,2024-03-25T19:00,lived-in,17.8,25.03,425,44.1
mar2024,2024-03-25T20:00,lived-in,19.2,23.85,494,53.5
mar2024,2024-03-25T21:00,lived-in,29.3,24.41,599,47.8
mar2024,2024-03-25T22:00,lived-in,17.4,24.82,621,42.6
mar2024,2024-03-25T23:00,lived-in,25.3,24.07,620,52.9
mar2024,2024-03-26T00:00,lived-in,10.8,23.32,612,49.4
mar2024,2024-03-26T01:00,lived-in,7.1,23.18,590,45.5
mar2024,2024-03-26T02:00,lived-in,6.3,23.04,581,45.5
mar2024,2024-03-26T03:00,lived-in,6.5,22.99,576,45.5
mar2024,2024-03-26T04:00,lived-in,6.3,22.99,572,45.3
mar2024,2024-03-26T05:00,lived-in,6.0,22.97,566,45.4
mar2024,2024-03-26T06:00,lived-in,6.2,22.93,562,45.6
mar2024,2024-03-26T07:00,lived-in,5.8,22.87,563,46.7
mar2024,2024-03-26T08:00,lived-in,12.0,23.23,606,49.1
mar2024,2024-03-26T09:00,lived-in,5.8,23.98,679,48.3
mar2024,2024-03-26T10:00,lived-in,5.4,24.30,729,51.9
mar2024,2024-03-26T11:00,lived-in,9.0,24.54,804,47.3
mar2024,2024-03-26T12:00,lived-in,6.4,24.58,788,43.3
mar2024,2024-03-26T13:00,lived-in,9.7,24.44,699,47.7
mar2024,2024-03-26T14:00,lived-in,8.1,24.33,663,52.9
mar2024,2024-03-26T15:00,lived-in,5.2,24.30,661,57.1
