timestamp_local,phase,mould_odour_ou,mould_odour_p90_ou,temperature_c,humidity_pct,absolute_humidity_g_m3,co2_ppm,sound_dba,n_readings
2023-11-20T00:00,lived-in,6.9,7.8,24.84,52.9,12.08,676,42.1,2
2023-11-20T01:00,lived-in,2.5,2.8,25.16,55.1,12.81,652,42.5,2
2023-11-20T02:00,lived-in,2.8,3.0,25.27,57.2,13.37,636,42.6,2
2023-11-20T03:00,lived-in,2.3,2.4,25.33,58.8,13.80,615,41.8,2
2023-11-20T04:00,lived-in,3.1,3.6,25.39,60.1,14.13,593,41.8,2
2023-11-20T05:00,lived-in,2.5,2.6,25.40,61.0,14.37,580,41.8,2
2023-11-20T06:00,lived-in,83.7,147.9,25.34,62.4,14.65,644,50.8,2
2023-11-20T07:00,lived-in,92.5,118.2,23.57,66.4,14.10,512,46.8,2
2023-11-20T08:00,lived-in,52.7,53.0,23.80,65.2,14.02,448,45.9,2
2023-11-20T09:00,lived-in,31.2,39.1,24.46,66.7,14.91,443,46.9,2
2023-11-20T10:00,lived-in,32.0,36.3,24.56,67.8,15.22,423,48.9,2
2023-11-20T11:00,lived-in,23.8,25.0,24.53,68.0,15.24,424,53.6,2
2023-11-20T12:00,lived-in,29.6,32.8,24.39,67.1,14.92,452,52.0,2
2023-11-20T13:00,lived-in,173.0,224.5,25.10,59.5,13.78,429,53.3,2
2023-11-20T14:00,lived-in,262.4,279.7,25.63,54.8,13.07,425,52.1,2
2023-11-20T15:00,lived-in,33.1,38.4,24.40,58.4,13.00,399,52.3,2
2023-11-20T16:00,lived-in,14.8,16.0,24.13,60.6,13.29,497,54.5,2
2023-11-20T17:00,lived-in,15.0,19.8,24.25,61.1,13.49,472,54.2,2
2023-11-20T18:00,lived-in,17.0,20.6,24.49,63.4,14.17,453,51.1,2
2023-11-20T19:00,lived-in,39.1,58.3,25.22,62.7,14.62,532,57.3,2
2023-11-20T20:00,lived-in,12.1,13.8,23.54,61.1,12.96,579,51.5,2
2023-11-20T21:00,lived-in,7.3,7.7,23.86,58.8,12.70,662,49.5,2
2023-11-20T22:00,lived-in,3.6,4.5,24.65,55.0,12.41,704,41.1,2
2023-11-20T23:00,lived-in,3.3,3.7,24.93,57.1,13.09,659,41.1,2
2023-11-21T00:00,lived-in,1.8,1.9,25.05,58.7,13.56,629,41.2,2
2023-11-21T01:00,lived-in,2.6,3.1,25.15,59.5,13.81,600,41.2,2
2023-11-21T02:00,lived-in,1.3,1.5,25.24,60.1,14.02,581,41.3,2
2023-11-21T03:00,lived-in,10.9,11.3,25.02,58.2,13.42,623,41.6,2
2023-11-21T04:00,lived-in,4.7,6.6,25.06,56.2,12.98,653,41.2,2
2023-11-21T05:00,lived-in,2.2,2.2,25.19,58.4,13.58,627,41.6,2
2023-11-21T06:00,lived-in,113.2,179.1,24.89,60.7,13.89,584,52.4,2
2023-11-21T07:00,lived-in,33.5,44.7,24.43,59.5,13.27,461,44.3,2
2023-11-21T08:00,lived-in,15.4,21.7,25.14,61.1,14.17,415,44.5,2
2023-11-21T09:00,lived-in,104.6,158.4,25.06,61.3,14.16,414,43.6,2
2023-11-21T10:00,lived-in,42.0,44.7,25.40,62.5,14.71,406,43.4,2
2023-11-21T11:00,lived-in,38.2,50.3,23.64,62.7,13.36,382,49.3,2
2023-11-21T12:00,lived-in,19.6,20.9,24.13,58.5,12.82,392,52.1,2
2023-11-21T13:00,lived-in,6.5,7.5,24.50,54.3,12.16,411,42.8,2
2023-11-21T14:00,lived-in,81.9,98.7,25.03,54.1,12.48,413,45.9,2
2023-11-21T15:00,lived-in,48.3,65.5,25.41,57.2,13.48,390,48.6,2
2023-11-21T16:00,lived-in,59.4,65.9,22.94,63.3,12.96,412,48.6,2
2023-11-21T17:00,lived-in,21.8,24.1,23.45,65.1,13.72,425,48.1,2
2023-11-21T18:00,lived-in,18.6,25.1,23.52,66.0,13.97,467,49.5,2
2023-11-21T19:00,lived-in,28.7,32.0,23.40,64.4,13.53,511,55.8,2
2023-11-21T20:00,lived-in,13.9,17.3,23.78,62.5,13.43,564,46.6,2
2023-11-21T21:00,lived-in,5.8,6.7,24.80,62.7,14.27,775,51.2,2
2023-11-21T22:00,lived-in,12.7,16.7,25.01,63.4,14.61,837,45.6,2
2023-11-21T23:00,lived-in,3.3,4.2,25.05,63.4,14.64,754,42.2,2
2023-11-22T00:00,lived-in,12.8,13.3,25.06,63.6,14.71,713,42.0,2
2023-11-22T01:00,lived-in,8.4,12.4,25.11,63.7,14.76,690,41.7,2
2023-11-22T02:00,lived-in,22.0,29.3,24.88,60.6,13.86,571,41.7,2
2023-11-22T03:00,lived-in,11.5,13.6,24.62,56.4,12.70,560,41.9,2
2023-11-22T04:00,lived-in,10.6,10.9,24.73,58.0,13.15,578,41.9,2
2023-11-22T05:00,lived-in,6.5,7.9,24.94,60.0,13.77,575,41.9,2
2023-11-22T06:00,lived-in,72.2,79.6,25.47,70.6,16.69,464,50.5,2
2023-11-22T07:00,lived-in,63.7,85.3,24.28,59.5,13.16,524,50.2,2
2023-11-22T08:00,lived-in,22.9,26.1,24.50,58.1,13.01,434,49.5,2
2023-11-22T09:00,lived-in,11.3,14.0,25.16,63.4,14.74,444,42.8,2
2023-11-22T10:00,lived-in,88.2,108.4,25.23,67.3,15.71,406,46.2,2
2023-11-22T11:00,lived-in,40.8,46.1,23.84,68.1,14.68,499,51.3,2
