timestamp_local,hours_from_departure,phase,mould_odour_ou,temperature_c,co2_ppm,sound_dba
2023-12-01T00:00,-125,lived-in,10.5,23.95,394,41.9
2023-12-01T01:00,-124,lived-in,5.2,23.76,389,42.1
2023-12-01T02:00,-123,lived-in,6.8,23.45,382,42.2
2023-12-01T03:00,-122,lived-in,4.9,23.21,380,41.6
2023-12-01T04:00,-121,lived-in,20.1,23.15,378,41.7
2023-12-01T05:00,-120,lived-in,14.0,24.03,398,42.0
2023-12-01T06:00,-119,lived-in,7.1,24.31,439,41.8
2023-12-01T07:00,-118,lived-in,43.5,23.21,401,47.7
2023-12-01T08:00,-117,lived-in,22.7,23.15,398,54.3
2023-12-01T09:00,-116,lived-in,28.5,23.94,468,53.1
2023-12-01T10:00,-115,lived-in,32.1,24.64,512,55.5
2023-12-01T11:00,-114,lived-in,42.0,24.68,538,55.9
2023-12-01T12:00,-113,lived-in,204.2,23.16,542,52.5
2023-12-01T13:00,-112,lived-in,41.8,23.36,419,47.6
2023-12-01T14:00,-111,lived-in,37.0,23.49,412,47.3
2023-12-01T15:00,-110,lived-in,36.6,23.73,427,47.6
2023-12-01T16:00,-109,lived-in,14.4,24.02,482,53.1
2023-12-01T17:00,-108,lived-in,11.2,24.02,481,47.0
2023-12-01T18:00,-107,lived-in,9.2,24.07,535,50.7
2023-12-01T19:00,-106,lived-in,17.8,24.30,696,57.3
2023-12-01T20:00,-105,lived-in,45.5,24.77,636,50.5
2023-12-01T21:00,-104,lived-in,43.5,24.85,523,51.3
2023-12-01T22:00,-103,lived-in,34.6,25.19,532,45.8
2023-12-01T23:00,-102,lived-in,24.7,25.74,536,41.4
2023-12-02T00:00,-101,lived-in,59.0,25.88,575,41.5
2023-12-02T01:00,-100,lived-in,52.2,25.43,673,42.4
2023-12-02T02:00,-99,lived-in,56.8,25.44,669,41.8
2023-12-02T03:00,-98,lived-in,78.0,25.48,635,41.6
2023-12-02T04:00,-97,lived-in,13.0,25.63,598,41.6
2023-12-02T05:00,-96,lived-in,12.5,25.75,558,41.4
2023-12-02T06:00,-95,lived-in,80.3,25.76,555,42.1
2023-12-02T07:00,-94,lived-in,119.9,25.10,414,45.6
2023-12-02T08:00,-93,lived-in,92.6,24.95,412,47.2
2023-12-02T09:00,-92,lived-in,148.6,25.38,519,50.2
2023-12-02T10:00,-91,lived-in,87.5,25.65,545,50.6
2023-12-02T11:00,-90,lived-in,98.1,25.32,558,58.3
2023-12-02T12:00,-89,lived-in,54.1,25.24,502,59.2
2023-12-02T13:00,-88,lived-in,151.2,25.76,455,52.5
2023-12-02T14:00,-87,lived-in,137.7,26.34,454,50.8
2023-12-02T15:00,-86,lived-in,80.8,25.77,554,59.7
2023-12-02T16:00,-85,lived-in,35.3,25.80,463,58.8
2023-12-02T17:00,-84,lived-in,13.1,25.70,550,57.3
2023-12-02T18:00,-83,lived-in,11.4,25.94,729,53.4
2023-12-02T19:00,-82,lived-in,11.2,25.87,841,58.9
2023-12-02T20:00,-81,lived-in,16.0,26.04,950,55.6
2023-12-02T21:00,-80,lived-in,41.7,26.27,743,48.2
2023-12-02T22:00,-79,lived-in,17.4,26.17,721,50.7
2023-12-02T23:00,-78,lived-in,12.6,26.18,805,50.5
2023-12-03T00:00,-77,lived-in,5.9,26.20,854,53.9
2023-12-03T01:00,-76,lived-in,2.7,26.18,843,54.0
2023-12-03T02:00,-75,lived-in,3.4,26.17,851,44.5
2023-12-03T03:00,-74,lived-in,63.2,26.65,825,41.2
2023-12-03T04:00,-73,lived-in,81.0,26.87,813,41.5
2023-12-03T05:00,-72,lived-in,156.6,26.77,789,41.5
2023-12-03T06:00,-71,lived-in,60.8,26.76,740,41.1
2023-12-03T07:00,-70,lived-in,159.8,26.61,662,42.6
2023-12-03T08:00,-69,lived-in,70.2,25.94,409,45.9
2023-12-03T09:00,-68,lived-in,42.1,25.88,444,53.8
2023-12-03T10:00,-67,lived-in,68.4,26.15,530,55.0
2023-12-03T11:00,-66,lived-in,56.0,26.14,576,54.7
2023-12-03T12:00,-65,lived-in,85.9,26.54,506,42.8
2023-12-03T13:00,-64,lived-in,34.5,26.88,437,42.2
2023-12-03T14:00,-63,lived-in,93.8,26.96,409,42.6
2023-12-03T15:00,-62,lived-in,70.7,26.72,505,54.2
